trial,arm,order_id,side,intended_size,filled_size,fill_rate,decision_price,avg_fill_price,implementation_shortfall,vwap_slippage,timed_out,tick_to_trade_us,fees_paid
54,naive,4,SELL,2005,2005,1,9327.5,9304.99,45135.5,22.5115,0,179.5,1.90189
54,naive,5,BUY,6086,6086,1,9322.5,9354,191710,31.5002,0,130.8,5.77302
55,naive,0,BUY,1476,1476,1,9707.5,9727.73,29858,20.229,0,1177.2,0.629638
55,naive,1,SELL,6003,6003,1,9578,9553.98,144177,24.0175,0,117.5,5.69429
55,naive,2,SELL,1925,1925,1,9467.5,9419.65,92104.5,71.3383,0,416.3,0.821174
55,naive,3,BUY,1037,1037,1,9638.5,9639.91,1460.5,1.40839,0,242,0.983671
55,naive,4,BUY,2370,2370,1,9487.5,9480.58,-16410,-6.92405,0,820.7,2.24812
55,naive,5,BUY,4644,4644,1,9521,9488.57,-150591,5.28139,0,40445.2,1.98106
56,naive,0,BUY,2695,2695,1,9695.5,9702.6,19130.5,-24.3664,0,418,1.14964
56,naive,1,SELL,844,844,1,9435.5,9359.68,63995,39.0911,0,27663.2,0.800596
56,naive,2,SELL,8830,8830,1,9215.5,9156.86,517822,30.8756,0,575.8,7.60179
56,naive,3,SELL,6325,4203,0.664506,9163,9057.96,441466,109.783,1,516.6,1.80494
56,naive,4,SELL,6930,6454,0.931313,9108.5,9038.6,451127,11.7194,1,624.4,2.93691
56,naive,5,SELL,2429,0,0,8842,0,0,8842,1,287.4,0
57,naive,0,BUY,7744,7744,1,9455.5,9477.89,173418,21.8939,0,458,7.34575
57,naive,1,SELL,2465,2465,1,9527,9537.35,-25521,-8.81609,0,420.3,1.05153
57,naive,2,SELL,9111,9111,1,9878,9860.25,161705,-24.0553,0,423.3,3.88661
57,naive,3,SELL,4862,4862,1,9514,9483.35,149000,28.8321,0,17047,2.07405
57,naive,4,BUY,8314,8314,1,9624.5,9624.45,-446,-8.19667,0,432.8,3.54662
57,naive,5,BUY,8958,8958,1,9731,9770.68,355481,8.07994,0,14805.8,3.82134
58,naive,0,BUY,4294,4294,1,10292.5,10308.3,67752,25.2783,0,114,4.07317
58,naive,1,SELL,847,847,1,9907,9902,4231,-23.7041,0,415.3,0.361317
58,naive,2,SELL,7637,7637,1,9766.5,9720.53,351059,-5.88056,0,607.1,6.17105
58,naive,3,BUY,8867,8867,1,9761,9820.44,527029,6.73036,0,1550.9,4.44806
